标题	智慧
1. 熟悉度：	我花时间熟悉不熟的事物是正常的，所以我用最短的时间最好的效率来快速熟悉新事物
2. 勤脑，勤劳：	"我做事很勤劳，我思考更勤劳；勤劳很重要，脑勤劳最重要；                  我很勤劳的实行实践，我更勤劳的做计划准备。
"
3.理智来做主，情绪来感受：	我用理智来代替做任何事情，我用理智来为决定做主；我用情绪来感受来知道自己的需求，我用情绪来享受理智成功获得的成果；                            我的情绪是来感受享受，我的理智是来决策决定；
4. 事实，与有价值的人的想法：	我在尊重有价值的人的意见的同时，我更尊重事实
5. 有效的勤劳，过度的做事：	"如果我意识到坚持下去效率低，我就退一步。如果我意识到坚持下去效率更好并且能量足够，我就继续，能量不足时我则暂停会儿；                        我勤劳的找有效率的做事方式来做事
【我勤劳做事用的精力很多，我得到的效果与成果更多；我过度做事用的精力非常多，我得到的效果与成果却非常少。】"
6. 脑力能量，充足休息：	我适当的休息是为了恢复脑力能量，因为我充足的脑力能量才会有强大的意志力与健康的脑状态才能保证我身体能量的充足与健康（王者玩的好）
7. 新的自己，新的思路：	我重新得到的开窍之智慧，每日我适当的阅读我写过的开窍之智慧，把这吸收成为我永久性的新思路（成越好的自己）
8. 设时间框架，立心理状态：	"我设立时间框架明确规定属于我的某种状态（比如休息时间时，休息状态），我则可以进入适合的状态从而提高组织性和思维冷静度 （我就更容易做我该做的事物）
【其实就是给自己找当时的重点才可以知道自己做什么】"
9. 列优先事项，做优先事项：	我先列出优先需要做的事项，然后我按照优先等级来逐步完成优先事项。
10.顺其自然，自然往好：	我遇到任何事情皆顺其自然，而且我还会往好的方面顺其自然发展。
11. 随情绪自然想，教情绪往好想	我给我的情绪自由的自然感受自然想，我教情绪往好的方向发展。
12.脑的精力与身体的精力：	我身体的精力主要本来就很耐，而我充足的脑力有更足够的精力来支持我运动更久更耐 （平衡脑的精力与身的精力的充足）
13.越思考越周到：	我思考的越深，事情我就想的越周到；我越多思考，我就越想到更多事情
14.皇座上的理智在外观察情绪：	每当我有负面情绪时，我用我的理智坐在皇座上看着我的情绪，理性的思考我情绪的处境，引导我情绪向建设性好的地方发展。
15.生产者与消费者：	我的财富人生是主动创造我自己的财富创造机器。
16.专注现在，计划未来：	对于现在的时候，我每时每刻都专注现在；                                            对于未来的时候，我写计划应对未来。
17.降低情绪障碍，减少情障建立：	"当我遇到情绪障碍压力时，我进入：“跨越情绪障碍的状态”；我会有情绪障碍是疲劳的后果，所以要好好休息和解开心事; 
只要心事解开了，就将没有情绪障碍的挡住。"
18.女神与我，情感联系：	"我成功的认识心仪女神，我成功的与心仪女神谈恋爱，我成功的与心仪女神成为终身伴侣，是我与她内心的情感联系；
内心交流，情感联系，是我与心仪女神的成功一起的重要关键。"
19.现实与心中，宏伟的自信：	当我感到自卑时，我心里知道：“我就是心中的陈俊杰，他们喜欢我的一切”； 
20.朋友美女，合理对待：	"当我遇到朋友时，我尊重他的距离，我欣赏他的人设，我好奇他的兴趣爱好，我与他开礼貌的玩笑，我尊重他对我的距离；
当我遇到美女时，我尊重她的距离，我欣赏她的人设，我玩乐的调戏她，我好奇她的兴趣爱好，我尊重她对我的感觉。"
21.新思维取代旧思维：	每当我意识到我旧思维的想法时，我就使用新思维的想法来取代旧思维。
22. 智慧与情绪：	我的智慧不代表我对情绪免疫，我的智慧代表我可以更容易意识到我的情绪
23. 敞开心扉：	我与人沟通时，展现自己最脆弱的一面，给对方选择：来攻击我，还是感激我对它的信任；如果是前者，我就有理由机会制造痛苦给对方；如果是后者，我会继续下去信任它。
24.情绪波动留给心里联系之人：	"我的情绪波动只留给有心理联系的人；
每当我有趣的朋友或我有好感的女生有做出行为让我感觉到受伤时，我提醒自己：只有真正有心理联系的人才值得我的情绪投入；而他们这些与我无心理联系之人，他们配不上我的情绪投入，而是我有趣的看待他们的行为。"
25.新思维的情绪：	当我因为旧思维而有情绪反应的时候是一个正常的事情，所以我引导我以新思维的角度来发出我的情绪；我将体验到由新思维产生的情绪反应，我就彻底拥有永生的新思维；                             （因为一路来我都是以旧思维的角度来发出情绪，以新思维而言，我就自然本能的以新思维的角度来发出情绪，彻底成为更伟大的我）
